image_path,label
data/raw/car_dd/CarDD_COCO/train/000001.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000002.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000003.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000004.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000005.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000006.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000007.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000008.jpg,crack
data/raw/car_dd/CarDD_COCO/train/000009.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000010.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000011.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000014.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000018.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000019.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000020.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000021.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000022.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000026.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000027.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000028.jpg,dent
data/raw/car_dd/CarDD_COCO/train/000029.jpg,dent
data/raw/car_dd/CarDD_COCO/train/000030.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000031.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000032.jpg,crack
data/raw/car_dd/CarDD_COCO/train/000036.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000037.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000039.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000041.jpg,glass shatter
data/raw/car_dd/CarDD_COCO/train/000043.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000045.jpg,dent
data/raw/car_dd/CarDD_COCO/train/000046.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000048.jpg,dent
data/raw/car_dd/CarDD_COCO/train/000049.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000050.jpg,scratch
data/raw/car_dd/CarDD_COCO/train/000051.jpg,glass shatter
data/raw/car_dd/CarDD_COCO/train/000052.jpg,lamp broken
data/raw/car_dd/CarDD_COCO/train/000053.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000055.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000056.jpg,tire flat
data/raw/car_dd/CarDD_COCO/train/000061.jpg,glass shatter
